BuildingID,Space usage,Stair1,Stair2,Area,HVACType
0,Office,6,1,77563.54,Central plant all-air system
1,Office,26,1,34275.6,Central plant all-air system
2,Office,30,2,38232.3,Fan coils and central plant outdoor air system
3,Office,25,2,47830,Fan coils and central plant outdoor air system
4,Office,32,2,50091,Other
5,Office,29,1,31809,Central plant all-air system
6,Office,26,1,34335,Fan coils and central plant outdoor air system
7,Office,7,1,35000,Fan coils and central plant outdoor air system
8,Office,10,1,27000,Fan coils and central plant outdoor air system
9,Office,9,3,21627,VRV
10,Office,20,2,49838,Fan coils and central plant outdoor air system
11,Office,25,2,87251.53,Fan coils and central plant outdoor air system
12,Office,21,1,42266,Fan coils and central plant outdoor air system
13,Office,24,1,43000,Fan coils and central plant outdoor air system
14,Office,11,0,38000,Fan coils and central plant outdoor air system
15,Office,24,4,52800,Fan coils and central plant outdoor air system
16,Office,6,1,30000,Fan coils and central plant outdoor air system
17,Office,20,1,50000,Fan coils and central plant outdoor air system
18,Office,20,1,50928,Fan coils and central plant outdoor air system
19,Office,6,1,35000,Central plant all-air system
